image_id,healthy,multiple_diseases,rust,scab
Train_0,0,0,0,1
Train_1,0,1,0,0
Train_2,1,0,0,0
Train_3,0,0,1,0
Train_4,1,0,0,0
Train_5,1,0,0,0
Train_6,0,1,0,0
Train_7,0,0,0,1
Train_8,0,0,0,1
Train_9,1,0,0,0
Train_10,0,0,1,0
Train_11,0,0,0,1
Train_12,0,0,0,1
Train_13,1,0,0,0
Train_14,0,0,1,0
Train_15,0,0,1,0
Train_16,0,0,0,1
Train_17,0,0,0,1
Train_18,1,0,0,0
Train_19,0,0,0,1
Train_20,0,0,0,1
Train_21,0,0,1,0
Train_22,0,0,0,1
Train_23,0,0,1,0
Train_24,1,0,0,0
Train_25,0,1,0,0
Train_26,0,0,1,0
Train_27,0,0,0,1
Train_28,0,0,0,1
Train_29,0,0,0,1
Train_30,0,0,0,1
Train_31,0,0,1,0
Train_32,0,0,0,1
Train_33,1,0,0,0
Train_34,0,0,1,0
Train_35,0,0,1,0
Train_36,0,1,0,0
Train_37,0,0,1,0
Train_38,0,0,1,0
Train_39,0,0,1,0
Train_40,0,0,0,1
Train_41,0,0,0,1
Train_42,0,0,0,1
Train_43,1,0,0,0
Train_44,0,0,0,1
Train_45,0,0,1,0
Train_46,1,0,0,0
Train_47,0,0,1,0
Train_48,0,0,0,1
Train_49,0,0,0,1
Train_50,0,0,1,0
Train_51,0,0,0,1
Train_52,0,0,0,1
Train_53,1,0,0,0
Train_54,1,0,0,0
Train_55,1,0,0,0
Train_56,0,0,0,1
Train_57,0,0,1,0
Train_58,0,0,1,0
Train_59,0,0,1,0
Train_60,0,0,1,0
Train_61,0,0,0,1
Train_62,0,1,0,0
Train_63,1,0,0,0
Train_64,0,0,1,0
Train_65,0,0,0,1
Train_66,1,0,0,0
Train_67,1,0,0,0
Train_68,1,0,0,0
Train_69,0,0,1,0
Train_70,1,0,0,0
Train_71,0,0,1,0
Train_72,1,0,0,0
Train_73,0,0,0,1
Train_74,0,1,0,0
Train_75,0,0,1,0
Train_76,0,0,0,1
Train_77,1,0,0,0
Train_78,0,0,0,1
Train_79,0,0,0,1
Train_80,0,0,0,1
Train_81,0,0,1,0
Train_82,0,0,1,0
Train_83,0,0,0,1
Train_84,0,0,0,1
Train_85,0,0,0,1
Train_86,1,0,0,0
Train_87,0,0,1,0
Train_88,1,0,0,0
Train_89,0,0,1,0
Train_90,1,0,0,0
Train_91,0,0,0,1
Train_92,0,0,1,0
Train_93,0,0,1,0
Train_94,1,0,0,0
Train_95,0,1,0,0
Train_96,0,0,1,0
Train_97,0,0,1,0
Train_98,0,0,1,0
Train_99,1,0,0,0
Train_100,1,0,0,0
Train_101,0,0,0,1
Train_102,0,0,1,0
Train_103,1,0,0,0
Train_104,0,1,0,0
Train_105,1,0,0,0
Train_106,0,0,0,1
Train_107,0,0,0,1
Train_108,0,0,1,0
Train_109,0,0,1,0
Train_110,0,0,0,1
Train_111,1,0,0,0
Train_112,0,0,0,1
Train_113,0,1,0,0
Train_114,0,0,1,0
Train_115,0,0,1,0
Train_116,0,0,0,1
Train_117,0,0,1,0
Train_118,0,0,1,0
Train_119,0,0,0,1
Train_120,0,0,1,0
Train_121,0,0,1,0
Train_122,0,1,0,0
Train_123,1,0,0,0
Train_124,0,0,1,0
Train_125,0,0,0,1
Train_126,0,0,1,0
Train_127,0,0,0,1
Train_128,0,1,0,0
Train_129,0,0,1,0
Train_130,0,0,0,1
Train_131,0,0,1,0
Train_132,0,0,1,0
Train_133,0,0,1,0
Train_134,1,0,0,0
Train_135,1,0,0,0
Train_136,1,0,0,0
Train_137,1,0,0,0
Train_138,0,0,0,1
Train_139,0,0,1,0
Train_140,0,0,0,1
Train_141,0,0,1,0
Train_142,0,0,0,1
Train_143,0,0,0,1
Train_144,1,0,0,0
Train_145,0,0,0,1
Train_146,1,0,0,0
Train_147,0,0,0,1
Train_148,0,0,1,0
Train_149,0,0,0,1
Train_150,0,0,0,1
Train_151,1,0,0,0
Train_152,0,0,0,1
Train_153,0,0,0,1
Train_154,0,0,0,1
Train_155,0,0,0,1
Train_156,0,0,1,0
Train_157,0,0,1,0
Train_158,0,0,0,1
Train_159,0,0,1,0
Train_160,0,0,0,1
Train_161,0,0,0,1
Train_162,1,0,0,0
Train_163,0,0,0,1
Train_164,0,0,1,0
Train_165,0,0,1,0
Train_166,0,0,0,1
Train_167,1,0,0,0
Train_168,0,0,0,1
Train_169,0,0,0,1
Train_170,0,1,0,0
Train_171,0,0,1,0
Train_172,0,0,0,1
Train_173,0,0,0,1
Train_174,1,0,0,0
Train_175,1,0,0,0
Train_176,0,0,0,1
Train_177,0,0,0,1
Train_178,0,0,1,0
Train_179,1,0,0,0
Train_180,0,1,0,0
Train_181,0,0,1,0
Train_182,0,0,0,1
Train_183,0,0,1,0
Train_184,0,0,1,0
Train_185,0,0,0,1
Train_186,0,0,0,1
Train_187,0,0,1,0
Train_188,0,0,1,0
Train_189,0,0,0,1
Train_190,0,0,0,1
Train_191,0,0,0,1
Train_192,0,0,0,1
Train_193,0,0,1,0
Train_194,0,0,1,0
Train_195,1,0,0,0
Train_196,0,0,0,1
Train_197,0,0,0,1
Train_198,1,0,0,0
Train_199,1,0,0,0
Train_200,0,0,0,1
